id,titulo
BOE-A-2020-6622,"Real Decreto 586/2020, de 23 de junio, relativo a la información obligatoria en caso de emergencia nuclear o radiológica."
BOE-A-2020-5249,"Decreto-ley 7/2020, de 24 de abril, por el que se aprueban medidas urgentes en materia de educación, para paliar los efectos de la emergencia sanitaria provocada por el COVID-19."
BOE-A-2020-5218,"Orden SND/427/2020, de 21 de mayo, por la que se flexibilizan ciertas restricciones derivadas de la emergencia sanitaria provocada por el COVID-19 a pequeños municipios y a entes locales de ámbito territorial inferior."
BOE-A-2020-4199,"Resolución de 27 de marzo 2020, de la Dirección General de Aviación Civil, por la que se modifica la duración, y se prorroga la adjudicación, del servicio de transporte aéreo en las rutas aéreas Palma de Mallorca-Menorca y Palma de Mallorca-Ibiza durante el estado de alarma declarado con motivo del COVID-19."
BOE-A-2020-4468,"Resolución de 8 de abril de 2020, de la Dirección General de Aviación Civil, por la que se modifica la duración y se prorroga la adjudicación del servicio de transporte aéreo en las rutas aéreas Palma de Mallorca-Menorca y Palma de Mallorca-Ibiza durante el estado de alarma declarado con motivo del COVID-19."
BOE-A-2020-4469,"Resolución de 10 de abril de 2020, de la Dirección General de Aviación Civil, por la que se establecen las condiciones para la prestación, y la adjudicación de forma directa, del servicio de transporte aéreo en determinadas rutas aéreas del Archipiélago Canario durante el estado de alarma declarado con motivo del COVID-19."
BOE-A-2019-6297,"Orden HAC/481/2019, de 26 de marzo, por la que se aprueban las normas de cumplimentación del documento administrativo electrónico interno y el modelo 525 ""Documento de acompañamiento de emergencia interno"", aplicables en la circulación de productos objeto de los impuestos especiales de fabricación en el ámbito territorial interno."
BOE-A-2018-14902,"Orden INT/1149/2018, de 29 de octubre, por la que se regula la organización y el funcionamiento de la Red Nacional de Radio de Emergencia."
BOE-A-2017-11003,"Decreto-ley 3/2017, de 4 de agosto, de modificación de la Ley 8/2012, de 19 de julio, del turismo de las Illes Balears, y de medidas para afrontar la emergencia en materia de vivienda en las Illes Balears."
BOE-A-2017-3067,"Ley 2/2017, de 17 de febrero, de emergencia social de la vivienda de Extremadura."
BOE-A-2016-4954,"Ley 4/2016, de 15 de abril, de regulación de los procedimientos de emergencia ciudadana en la Administración de la Región de Murcia."
BOE-A-2015-13348,"Resolución de 4 de diciembre de 2015, de la Secretaría de Estado de Energía, por la que se aprueban las reglas del mercado, el contrato de adhesión y las resoluciones del mercado organizado de gas."
BOE-A-2015-12528,"Orden AAA/2444/2015, de 19 de noviembre, por la que se establecen medidas de emergencia preventivas frente a la fiebre aftosa en el Magreb."
BOE-A-2015-9725,"Ley 24/2015, de 29 de julio, de medidas urgentes para afrontar la emergencia en el ámbito de la vivienda y la pobreza energética."
BOE-A-2014-317,"Orden ESS/2518/2013, de 26 de diciembre, por la que se regulan los aspectos formativos del contrato para la formación y el aprendizaje, en desarrollo del Real Decreto 1529/2012, de 8 de noviembre, por el que se desarrolla el contrato para la formación y el aprendizaje y se establecen las bases de la formación profesional dual."
BOE-A-2013-12823,"Real Decreto 893/2013, de 15 de noviembre, por el que se aprueba la Directriz básica de planificación de protección civil de emergencia por incendios forestales."
BOE-A-2013-7216,"Orden HAP/1229/2013, de 1 de julio, por la que se aprueban las normas de cumplimentación del documento administrativo electrónico interno y el modelo 525 ""Documento de acompañamiento de emergencia interno"", relativos al amparo de la circulación de productos objeto de los impuestos especiales de fabricación."
BOE-A-2012-13846,"Real Decreto 1529/2012, de 8 de noviembre, por el que se desarrolla el contrato para la formación y el aprendizaje y se establecen las bases de la formación profesional dual."
BOE-A-2011-15567,"Real Decreto 1336/2011, de 3 de octubre, por el que se regula el contrato territorial como instrumento para promover el desarrollo sostenible del medio rural."
BOE-A-2009-18004,"Ley 15/2009, de 11 de noviembre, del contrato de transporte terrestre de mercancías."
BOE-A-2009-4211,"Orden ARM/605/2009, de 6 de marzo, por la que se establecen medidas específicas para la aplicación de la Decisión 2007/365/CE, de la Comisión, de 25 de mayo de 2007, por la que se adoptan medidas de emergencia para evitar la introducción y propagación en la comunidad de ""Rhynchophorus ferrugineus"" (Olivier) y medidas especiales de protección."
BOE-A-2009-3673,"Real Decreto 197/2009, de 23 de febrero, por el que se desarrolla el Estatuto del Trabajo Autónomo en materia de contrato del trabajador autónomo económicamente dependiente y su registro y se crea el Registro Estatal de asociaciones profesionales de trabajadores autónomos."
BOE-A-2007-6237,"Real Decreto 393/2007, de 23 de marzo, por el que se aprueba la Norma Básica de Autoprotección de los centros, establecimientos y dependencias dedicados a actividades que puedan dar origen a situaciones de emergencia."
BOE-A-2005-9607,"Orden INT/1695/2005, de 27 de mayo, por la que se aprueba el Plan de Emergencia Nuclear del Nivel Central de Respuesta y Apoyo."
BOE-A-2005-4573,"Real Decreto 307/2005, de 18 de marzo, por el que se regulan las subvenciones en atención a determinadas necesidades derivadas de situaciones de emergencia o de naturaleza catastrófica, y se establece el procedimiento para su concesión."
BOE-A-2004-19393,"Orden INT/3716/2004, de 28 de octubre, por la que se publican las fichas de intervención para la actuación de los servicios operativos en situaciones de emergencia provocadas por accidentes en el transporte de mercancías peligrosas por carretera y ferrocarril."
BOE-A-2004-13061,"Real Decreto 1546/2004, de 25 de junio, por el que se aprueba el Plan Básico de Emergencia Nuclear."
BOE-A-2003-10463,"Ley 13/2003, de 23 de mayo, reguladora del contrato de concesión de obras públicas."
BOE-A-2002-22187,"Ley 40/2002, de 14 de noviembre, reguladora del contrato de aparcamiento de vehículos."
BOE-A-1998-19580,"Real Decreto 1659/1998, de 24 de julio, por el que se desarrolla el artículo 8, apartado 5, de la Ley del Estatuto de los Trabajadores en materia de información al trabajador sobre los elementos esenciales del contrato de trabajo."
BOE-A-1997-11005,"Real Decreto 704/1997, de 16 de mayo, por el que se regula el régimen jurídico, presupuestario y financiero del contrato administrativo de obra bajo la modalidad de abono total del precio."
BOE-A-1993-17028,"Circular de 9 de junio de 1993, conjunta de la Dirección General del Patrimonio del Estado y de la Dirección del Departamento de Recaudación de la Agencia Estatal de Administración Tributaria, sobre coordinación de órganos en materia de adjudicación de bienes al Estado como consecuencia de procedimientos de apremio seguidos por la Agencia Estatal de Administración Tributaria."
BOE-A-1992-12347,"Ley 12/1992, de 27 de mayo, sobre Contrato de Agencia."
BOE-A-1985-16874,"Real Decreto 1378/1985, de 1 de agosto, sobre medidas provisionales para la actuación en situaciones de emergencia en los casos de grave riesgo, catástrofe o calamidad pública."
BOE-A-1980-22501,"Ley 50/1980, de 8 de octubre, de Contrato de Seguro."
BOE-A-1974-753,"Instrumento de Adhesión de España al Convenio relativo al Contrato de Transporte Internacional de Mercancías por Carretera (C. M. R.), hecho en Ginebra el 19 de mayo de 1956."
BOJA-b-2020-90100,"Decreto-ley 8/2020, de 8 de abril, por el que se establecen medidas extraordinarias y urgentes en el ámbito local y se modifica el Decreto-ley 3/2020, de 16 de marzo, de medidas de apoyo financiero y tributario al sector económico, de agilización de actuaciones administrativas y de medidas de emergencia social, para luchar contra los efectos de la evolución del coronavirus (COVID-19)."
DOGV-r-2022-90121,"Decreto-ley 1/2022, de 22 de abril, del Consell, de medidas urgentes en respuesta a la emergencia energética y económica originada en la Comunitat Valenciana por la guerra en Ucrania."
DOGV-r-2020-90092,"Decreto-ley 2/2020, de 3 de abril, de medidas urgentes, en el ámbito de la educación, de la cultura y del deporte, para paliar los efectos de la emergencia sanitaria provocada por la Covid-19."
BOA-d-2015-90619,"Decreto-ley 3/2015, de 15 de diciembre, del Gobierno de Aragón, de medidas urgentes de emergencia social en materia de prestaciones económicas de carácter social, pobreza energética y acceso a la vivienda."
BOJA-b-2020-90061,"Decreto-ley 3/2020, de 16 de marzo, de medidas de apoyo financiero y tributario al sector económico, de agilización de actuaciones administrativas y de medidas de emergencia social, para luchar contra los efectos de la evolución del coronavirus (COVID-19)."
